[INFO] 2026-03-19 11:22:03,099 django.server "OPTIONS /api/admin/login/ HTTP/1.1" 200 0
[WARNING] 2026-03-19 11:22:03,865 django.server "POST /api/admin/login/ HTTP/1.1" 404 2127
[WARNING] 2026-03-19 11:22:07,614 django.server "POST /api/admin/login/ HTTP/1.1" 404 2127
[WARNING] 2026-03-19 11:23:40,204 django.server "POST /api/admin/login/ HTTP/1.1" 404 2127
[ERROR] 2026-03-19 11:24:38,196 django.server "POST /api/admin/login/ HTTP/1.1" 500 98366
[ERROR] 2026-03-19 11:25:13,886 django.server "POST /api/admin/login/ HTTP/1.1" 500 98366
[INFO] 2026-03-19 11:25:56,854 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 11:25:57,696 django.server "OPTIONS /api/admin/inventory/ HTTP/1.1" 200 0
[INFO] 2026-03-19 11:25:57,703 django.server "OPTIONS /api/admin/inventory/ HTTP/1.1" 200 0
[WARNING] 2026-03-19 11:25:57,787 django.server "GET /api/admin/inventory/ HTTP/1.1" 404 2506
[WARNING] 2026-03-19 11:25:57,788 django.server "GET /api/admin/total_data/ HTTP/1.1" 404 2509
[WARNING] 2026-03-19 11:25:57,850 django.server "GET /api/admin/inventory/ HTTP/1.1" 404 2506
[WARNING] 2026-03-19 11:25:57,853 django.server "GET /api/admin/total_data/ HTTP/1.1" 404 2509
[WARNING] 2026-03-19 11:27:06,965 django.server "GET /api/admin/inventory/ HTTP/1.1" 404 2506
[WARNING] 2026-03-19 11:27:06,966 django.server "GET /api/admin/total_data/ HTTP/1.1" 404 2509
[WARNING] 2026-03-19 11:27:07,014 django.server "GET /api/admin/total_data/ HTTP/1.1" 404 2509
[WARNING] 2026-03-19 11:27:07,016 django.server "GET /api/admin/inventory/ HTTP/1.1" 404 2506
[INFO] 2026-03-19 11:27:32,486 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[WARNING] 2026-03-19 11:27:33,235 django.server "GET /api/admin/inventory/ HTTP/1.1" 404 2506
[WARNING] 2026-03-19 11:27:33,241 django.server "GET /api/admin/total_data/ HTTP/1.1" 404 2509
[WARNING] 2026-03-19 11:27:33,322 django.server "GET /api/admin/inventory/ HTTP/1.1" 404 2506
[WARNING] 2026-03-19 11:27:33,324 django.server "GET /api/admin/total_data/ HTTP/1.1" 404 2509
[WARNING] 2026-03-19 11:27:53,738 django.server "GET /api/admin/inventory/ HTTP/1.1" 404 2506
[WARNING] 2026-03-19 11:27:53,743 django.server "GET /api/admin/total_data/ HTTP/1.1" 404 2509
[WARNING] 2026-03-19 11:27:53,774 django.server "GET /api/admin/total_data/ HTTP/1.1" 404 2509
[WARNING] 2026-03-19 11:27:53,885 django.server "GET /api/admin/inventory/ HTTP/1.1" 404 2506
[INFO] 2026-03-19 11:29:00,723 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[WARNING] 2026-03-19 11:29:01,503 django.server "GET /api/admin/inventory/ HTTP/1.1" 404 2506
[WARNING] 2026-03-19 11:29:01,517 django.server "GET /api/admin/total_data/ HTTP/1.1" 404 2509
[WARNING] 2026-03-19 11:29:01,560 django.server "GET /api/admin/inventory/ HTTP/1.1" 404 2506
[WARNING] 2026-03-19 11:29:01,567 django.server "GET /api/admin/total_data/ HTTP/1.1" 404 2509
[WARNING] 2026-03-19 11:29:28,841 django.server "GET /api/admin/total_data/ HTTP/1.1" 404 2509
[WARNING] 2026-03-19 11:29:28,851 django.server "GET /api/admin/inventory/ HTTP/1.1" 404 2506
[WARNING] 2026-03-19 11:29:28,892 django.server "GET /api/admin/total_data/ HTTP/1.1" 404 2509
[WARNING] 2026-03-19 11:29:28,896 django.server "GET /api/admin/inventory/ HTTP/1.1" 404 2506
[INFO] 2026-03-19 11:30:02,867 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[WARNING] 2026-03-19 11:30:03,593 django.server "GET /api/admin/total_data/ HTTP/1.1" 404 2509
[WARNING] 2026-03-19 11:30:03,595 django.server "GET /api/admin/inventory/ HTTP/1.1" 404 2506
[WARNING] 2026-03-19 11:30:03,662 django.server "GET /api/admin/total_data/ HTTP/1.1" 404 2509
[WARNING] 2026-03-19 11:30:03,665 django.server "GET /api/admin/inventory/ HTTP/1.1" 404 2506
[WARNING] 2026-03-19 11:30:23,765 django.server "GET /api/admin/total_data/ HTTP/1.1" 404 2509
[WARNING] 2026-03-19 11:30:23,766 django.server "GET /api/admin/inventory/ HTTP/1.1" 404 2506
[WARNING] 2026-03-19 11:30:23,807 django.server "GET /api/admin/total_data/ HTTP/1.1" 404 2509
[WARNING] 2026-03-19 11:30:23,811 django.server "GET /api/admin/inventory/ HTTP/1.1" 404 2506
[INFO] 2026-03-19 11:30:36,605 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[WARNING] 2026-03-19 11:30:37,328 django.server "GET /api/admin/inventory/ HTTP/1.1" 404 2506
[WARNING] 2026-03-19 11:30:37,344 django.server "GET /api/admin/total_data/ HTTP/1.1" 404 2509
[WARNING] 2026-03-19 11:30:37,409 django.server "GET /api/admin/total_data/ HTTP/1.1" 404 2509
[WARNING] 2026-03-19 11:30:37,417 django.server "GET /api/admin/inventory/ HTTP/1.1" 404 2506
[WARNING] 2026-03-19 11:31:20,741 django.server "GET /api/admin/total_data/ HTTP/1.1" 404 2509
[WARNING] 2026-03-19 11:31:20,749 django.server "GET /api/admin/inventory/ HTTP/1.1" 404 2506
[WARNING] 2026-03-19 11:31:20,794 django.server "GET /api/admin/inventory/ HTTP/1.1" 404 2506
[WARNING] 2026-03-19 11:31:20,805 django.server "GET /api/admin/total_data/ HTTP/1.1" 404 2509
[INFO] 2026-03-19 11:31:24,955 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[WARNING] 2026-03-19 11:31:25,617 django.server "GET /api/admin/total_data/ HTTP/1.1" 404 2509
[WARNING] 2026-03-19 11:31:25,647 django.server "GET /api/admin/inventory/ HTTP/1.1" 404 2506
[WARNING] 2026-03-19 11:31:25,649 django.server "GET /api/admin/total_data/ HTTP/1.1" 404 2509
[WARNING] 2026-03-19 11:31:25,682 django.server "GET /api/admin/inventory/ HTTP/1.1" 404 2506
[WARNING] 2026-03-19 11:31:47,744 django.server "GET /api/admin/inventory/ HTTP/1.1" 404 2506
[WARNING] 2026-03-19 11:31:47,766 django.server "GET /api/admin/inventory/ HTTP/1.1" 404 2506
[INFO] 2026-03-19 11:32:28,598 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 11:34:01,040 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 11:39:55,333 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 11:40:31,953 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 11:41:12,158 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 11:43:44,106 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 11:52:21,175 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 12:17:34,454 django.server "OPTIONS /api/admin/employee/?page=1&search= HTTP/1.1" 200 0
[INFO] 2026-03-19 12:17:34,455 django.server "OPTIONS /api/admin/employee/?page=1&search= HTTP/1.1" 200 0
[WARNING] 2026-03-19 12:17:34,557 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 404 2522
[WARNING] 2026-03-19 12:17:34,582 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 404 2522
[INFO] 2026-03-19 12:17:38,179 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 12:18:46,658 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[WARNING] 2026-03-19 12:19:26,617 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 404 2522
[WARNING] 2026-03-19 12:19:26,778 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 404 2522
[INFO] 2026-03-19 12:19:29,839 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[WARNING] 2026-03-19 12:19:33,823 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 404 2522
[WARNING] 2026-03-19 12:19:33,933 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 404 2522
[WARNING] 2026-03-19 12:20:20,049 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 404 2522
[WARNING] 2026-03-19 12:20:20,082 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 404 2522
[INFO] 2026-03-19 12:21:43,354 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[WARNING] 2026-03-19 12:21:45,458 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 404 2522
[WARNING] 2026-03-19 12:21:45,497 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 404 2522
[INFO] 2026-03-19 18:40:55,456 django.server "OPTIONS /api/admin/login/ HTTP/1.1" 200 0
[INFO] 2026-03-19 18:40:57,418 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
[INFO] 2026-03-19 18:41:00,012 django.server "OPTIONS /api/admin/employee/?page=1&search= HTTP/1.1" 200 0
[INFO] 2026-03-19 18:41:00,013 django.server "OPTIONS /api/admin/employee/?page=1&search= HTTP/1.1" 200 0
[WARNING] 2026-03-19 18:41:00,076 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 404 2522
[WARNING] 2026-03-19 18:41:00,103 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 404 2522
[WARNING] 2026-03-19 18:41:17,384 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 404 2522
[WARNING] 2026-03-19 18:41:17,403 django.server "GET /api/admin/employee/?page=1&search= HTTP/1.1" 404 2522
[INFO] 2026-03-19 18:41:27,081 django.server "POST /api/admin/login/ HTTP/1.1" 200 550
